Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Croatia,"Goods exports (BoP, current US$)",,,,,,3910314000,4402796000,4517259000,4643474000,3981320000,4517196000,4341979785,3163299916,3345891535,3978359988,4896256544,6629732247,7525237050,8975437399,10512997254,11710962973,9171276948,10684153211,12182424585,11139866965,11853687175,12512227789,11292486605,11613138769,13204517234,14404843884,14344882193,13736048802,18426316864,21434842971
Cuba,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Goods exports (BoP, current US$)",709128918.7,795350146.6,951580683.1,951707313.4,985877870.4,867703089.8,967510580.2,1228725068,1392417618,1245774123,1064644192,1000280414,950924374.6,975220765.6,1007996874,1182564284,1572709689,2045509063,1979990176,1986029805,3354885866,3409478371,3563355682,4209069853,3898408570,3601380225,3550212103,3195208096,2874481796,3149178667,4387522637,3452526418,3375193284,4224344133,4789247699
Czech Republic,"Goods exports (BoP, current US$)",,,,,,12099472139,12297435857,15816447990,16557225814,16479009082,18811902360,18036216541,19644621430,22846619264,26954555173,35275253693,56003940481,71554951811,85771675081,1.07017E+11,1.26345E+11,1.01026E+11,1.15073E+11,1.37893E+11,1.34125E+11,1.36995E+11,1.46629E+11,1.28169E+11,1.30931E+11,1.45846E+11,1.61089E+11,1.56104E+11,1.46772E+11,1.75777E+11,1.84155E+11
Denmark,"Goods exports (BoP, current US$)",27537191159,28728147845,36072155254,36782729567,40503730540,36947838870,41740792908,50348228652,50734655474,48102870851,47907826571,49786592852,50083927657,50466348572,55472556322,64537125820,75050248640,81513296556,90515014782,1.01639E+11,1.1824E+11,94720313342,1.01132E+11,1.17876E+11,1.11288E+11,1.16915E+11,1.19447E+11,1.03346E+11,1.03821E+11,1.11277E+11,1.19312E+11,1.21405E+11,1.19751E+11,1.40876E+11,1.48302E+11
Djibouti,"Goods exports (BoP, current US$)",,,,47861535.78,37632018.73,45346357.49,47642090.69,32010848.46,29028646.02,31172455.7,27993315.37,27492530.43,31628226.26,31616972.67,35623252.18,37249396.53,37980880.14,39500115.35,55170745.16,58068545.64,68815728.02,77368459.55,85133439.49,92701481.54,117999561.1,2401280659,2703782896,2582238452,1732119446,3162001114,3521958576,3996173778,2784611835,4146926925,
Dominica,"Goods exports (BoP, current US$)",57037037.04,46303703.7,56070370.37,55648148.15,55311111.11,48511111.11,47996296.3,46092592.59,52903703.7,53762962.96,63185185.19,56003703.7,54740740.74,44380000,43606370.37,41010000,42919551.48,42909028.89,44259658.15,39018382.59,43885135.19,36815298.89,37243385.56,36169574.44,38594799.26,41033222.22,38514367.85,34876544.45,25424905.11,13007629.67,11570724.9,21183274.52,15488131.56,21329862.01,22502172.58
Dominican Republic,"Goods exports (BoP, current US$)",889700000,924400000,734500000,658300000,562500000,602100000,736400000,872100000,945500000,1017300000,880300000,805200000,966100000,794700000,847700000,1064000000,1250700000,1395100000,1931400000,2635100000,2393400000,1689300000,6816000000,8361600000,8935500000,9424400000,9898900000,9441800000,9839600000,10134600000,10638100000,11192700000,10301900000,12486400000,13776900000
East Timor,"Goods exports (BoP, current US$)",,,,,,,,,,,,,,,,,,,9252764.126,6648418.165,14061182.84,14595333.68,27080122.76,28676960.78,33265504.28,17670430.79,15482722.32,18048200,20045100,16693758.05,24603795.87,25958158.54,17393717.44,2287331579,2037921157
Ecuador,"Goods exports (BoP, current US$)",2205000000,2354000000,2724000000,2851000000,3101000000,3135850000,3935910000,4460310000,4919420000,5356470000,4322150000,4611490000,5051684520,4813295871,5251182682,6440426912,7962153641,10461690881,13170091670,14864155482,19454767463,14406025924,18131092038,23076323024,24562898323,25580775039,26590481333,19042747808,17413375499,19549069027,22157179400,22773849436,20569528781,26967561472,33033353717
